Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenB3,QlenC0,QlenC1,QlenC2,QlenC3,choice,precheck
0,0,0.940683898,64.57301105,65.56702481,65.56702481,0,0,0,0.940683898,63.63232715,0.994013765,0,0,0,0,0,0,0,1,1,0,0
1,1.816238656,14.1025406,17.67976077,33.51055111,31.69431246,0,0,0,12.28630194,3.577220175,15.83079034,0,0,0,0,0,0,0,0,0,2,0
2,2.826977282,26.43554776,37.20657462,52.74606486,49.91908758,0,0,0,23.60857047,10.77102686,15.53949024,0,0,0,0,0,0,0,0,0,2,0
3,7.127153923,33.24542854,36.44190528,40.39641362,33.2692597,0,0,0,26.11827462,3.196476741,3.954508338,0,0,0,0,0,0,0,0,0,0,1
4,7.338511962,8.571889002,20.32067167,37.68222887,30.34371691,0,0,0,1.233377041,11.74878266,17.3615572,0,0,0,0,0,0,0,0,0,1,0
5,8.125707847,34.3123651,70.32028533,74.75641142,66.63070358,0,14.22166313,0,26.18665725,21.7862571,4.436126097,0,0,0,0,0,0,0,1,1,1,0
6,11.89939513,22.40130616,22.46070399,32.39037018,20.49097505,0,0,0,10.50191103,0.059397832,9.929666191,0,0,0,0,0,0,0,0,0,0,1
7,17.38572096,29.7191722,70.33146867,98.58046008,81.19473912,0,34.85383885,0,12.33345124,5.758457627,28.2489914,0,0,0,0,0,0,0,1,1,0,0
8,23.90652121,25.03825051,48.53402823,50.33553532,26.42901411,0,0,0,1.131729306,23.49577771,1.80150709,0,0,0,0,0,0,0,0,0,1,0
9,28.80190886,36.29192027,45.60285748,60.35485224,31.55294338,0,0.590918206,0,7.490011413,8.720019002,14.75199476,0,0,0,0,0,0,0,0,0,1,1
10,28.88175246,29.52124269,35.2887037,37.63865225,8.756899786,0,0,0,0.639490223,5.767461008,2.349948555,0,0,0,0,0,0,0,0,0,3,0
11,29.85264923,33.92322856,36.88283848,39.34257167,9.489922436,0,0,0,4.070579331,2.959609918,2.459733187,0,0,0,0,0,0,0,0,0,1,1
12,31.07296222,34.8855214,44.42272263,49.93501299,18.86205077,2.172466319,1.556383884,0,1.640092857,7.980817348,5.512290362,0,0,0,0,0,0,0,0,0,0,1
13,33.8822958,45.70100216,57.10062772,78.74192004,44.85962424,0,0,0,11.81870636,11.39962556,21.64129231,0,1,0,0,0,0,0,0,0,2,0
14,43.39883993,61.65964401,75.14637939,89.40183067,46.00299074,0,0,0,18.26080408,13.48673538,14.25545129,0,0,0,0,0,0,1,0,0,0,1
15,45.00488958,45.94428987,97.27695308,111.6750491,66.67015956,0,0,0,0.939400292,51.33266321,14.39809606,0,1,1,0,0,1,0,0,0,3,0
16,46.289416,84.84753601,84.84753601,123.8704353,77.58101925,0,0,13.73292407,38.55812001,0,25.28997518,0,1,1,0,0,0,0,0,0,0,0
17,47.51882447,58.70350564,63.82926467,93.07003076,45.55120629,0,0,14.91265537,11.18468117,5.125759029,14.32811073,0,1,1,0,0,0,0,0,0,2,0
18,49.51156785,50.10666969,57.24696569,65.19742063,15.68585277,0,0,0,0.595101842,7.140295997,7.950454936,0,0,0,0,0,0,0,0,0,0,1
19,56.2390695,62.03407999,97.37597621,97.96339205,41.72432255,0,8.286205332,0,5.795010495,27.05569089,0.587415836,0,1,0,0,0,1,0,0,0,1,0
20,56.93254625,75.50957765,75.50957765,110.8412344,53.90868819,0,0,13.89225303,18.5770314,0,21.43940376,0,0,0,0,0,0,1,0,0,0,1
21,61.48756065,66.44506478,68.79936223,86.10859778,24.62103714,0,0,0,4.957504131,2.354297454,17.30923555,0,0,0,0,0,0,0,0,0,1,1
22,63.17396172,69.34030859,88.06506998,94.06211581,30.88815409,0,0,5.004960784,6.166346873,18.72476139,0.992085047,0,1,1,0,0,1,0,0,0,2,0
23,66.40290498,71.76857219,73.38653162,92.85756422,26.45465924,0,0,12.72206617,5.365667216,1.617959422,6.748966439,0,0,0,0,0,0,0,0,0,1,1
24,69.41268794,82.49772699,84.25592116,104.921355,35.50866709,0,0,8.601643059,13.08503905,1.758194171,12.06379081,0,0,0,0,0,1,1,0,0,1,1
25,72.08266896,80.56757684,86.29182316,118.2772208,46.19455188,0,0,24.54941128,8.484907877,5.724246317,7.435986411,0,0,0,0,0,1,1,0,0,0,1
26,75.08542976,94.39084067,108.257618,122.9151488,47.82971903,0.424147884,0,11.03368669,18.88126303,13.86677733,3.623844104,0,0,0,0,0,2,0,0,0,0,1
27,82.06283098,86.03194582,115.8846803,135.3555708,53.29273985,0,0,7.985754925,3.969114839,29.85273451,11.48513558,0,0,0,0,0,0,0,0,0,0,0
28,83.64222692,86.38607801,89.06791241,119.2913047,35.64907777,0,0,29.20930843,2.743851094,2.681834398,1.014083846,0,0,0,0,0,2,1,0,0,0,1
29,89.81944224,97.30090445,101.2410624,109.0038737,19.18443151,0,0,3.680292646,7.481462216,3.940157932,4.082518712,0,0,0,0,0,2,0,0,0,1,1
30,91.73778787,140.3264755,144.3958293,145.5425249,53.80473705,0,0.806013872,0,48.58868764,3.263339921,1.146695619,0,0,0,0,0,0,0,0,0,1,1
31,99.023471,99.51106745,123.6133785,134.9854613,35.96199035,0,0,0,0.487596447,24.10231101,11.37208289,0,0,0,0,0,2,0,0,0,1,0
32,104.5803308,109.2239217,110.0314696,132.2650673,27.68473647,0,0,12.88367918,4.643590874,0.807547901,9.34991851,0,0,0,0,0,3,0,0,0,0,1
33,106.4585388,116.3291315,116.3291315,169.8790105,63.42047172,0,0,19.0264393,9.870592748,0,34.52343967,0,0,0,0,0,1,0,0,0,0,0
