,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenB3,QlenC0,QlenC1,QlenC2,QlenC3,choice,precheck
0,0.0,0.940683897848,64.5730110481,65.5670248135,65.5670248135,0.0,0.0,0.0,0.940683897848,63.6323271503,0.994013765381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1.33897149784,13.6252734413,17.2024936163,33.0332839564,31.6943124586,0.0,0.0,0.0,12.2863019434,3.57722017501,15.8307903401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2,2.08411047422,25.6926809489,25.6926809489,48.5727741989,46.4886637247,0.0,0.0,7.34060300745,23.6085704747,0.0,15.5394902425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
3,5.25429625291,31.3725708705,43.3318357972,47.2863441354,42.0320478825,0.0,0.0,0.0,26.1182746176,11.9592649267,3.95450833815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,5.41011409636,6.64349113687,18.3922738004,35.7538310017,30.3437169054,0.0,0.0,0.0,1.23337704052,11.7487826635,17.3615572014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,5.99045239644,32.1771096483,60.7819014273,65.2180275241,59.2275751277,0.0,0.0,0.0,26.1866572518,28.604791779,4.43612609689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
6,8.77249852131,19.2744095464,23.8846951303,33.8143613212,25.0418627999,0.0,0.0,0.0,10.5019110251,4.61028558386,9.92966619095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,12.8171398388,21.3321242594,23.788247009,41.9116882789,29.09454844,6.45726970757,0.0,0.0,2.05771471304,2.45612274954,18.1234412699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,12.9406035471,25.1747643492,39.5858791396,48.4472234234,35.5066198763,0.0,0.0,8.6630282659,12.2341608022,14.4111147904,0.19831601788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,14.9094557367,16.0411850426,24.3673369167,26.1688440072,11.2593882705,0.0,0.0,0.0,1.13172930587,8.32615187411,1.80150709049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
10,18.5184443007,22.7822748806,22.7822748806,48.2489074055,29.7304631048,0.0,0.0,12.9715561212,4.26383057986,0.0,12.4950764037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,22.4314402571,33.1786697791,88.4683984121,89.7299047794,67.2984645223,0.0,31.3943412691,0.0,10.747229522,23.895387364,1.26150636725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,28.2255158575,51.5270607018,105.825406243,106.092598848,77.8670829901,0.0,28.0487306769,0.0,23.3015448444,26.2496148643,0.267192604423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,28.5474534148,29.3850379423,43.6102007198,66.4626262779,37.9151728631,0.0,0.0,4.96257347906,0.837584527513,14.2251627775,17.889852079,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
14,30.4341342347,48.0391079312,79.5757913788,88.4708604079,58.0367261732,0.0,0.789744091442,7.89056679307,17.6049736965,30.7469393562,1.00450223601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
15,32.2806845239,38.2128460362,99.7134274122,105.316638412,73.0359538879,0.0,1.37303310341,0.0,5.93216151231,60.1275482726,5.60321099965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,35.8651392903,39.2057910879,48.8288520226,87.4663581719,51.6012188815,0.0,4.40440963197,17.6337742553,3.34065179753,5.21865130279,21.0037318939,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
17,37.6483945573,43.8776729989,132.35935681,135.187821311,97.5394267537,0.0,55.8357544133,0.0,6.22927844156,32.6459293981,2.82846450072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
18,41.995282237,52.7388226738,56.2615569769,63.9729790543,21.9776968173,0.0,0.0,0.0,10.7435404368,3.52273430313,7.7114220774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,46.038538404,51.833548899,94.2019346198,94.7893504555,48.7508120515,0.0,8.94835252828,0.0,5.79501049492,33.4200331925,0.587415835782,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
20,46.5497848715,65.1268162719,65.1268162719,86.5662200343,40.0164351628,0.0,0.0,0.0,18.5770314004,0.0,21.4394037624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,49.9078427117,53.3949003732,69.752152733,74.4392140711,24.5313713595,2.83097996212,0.0,0.0,0.656077699364,16.3572523598,4.68706133814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22,60.5521993967,67.0838907072,124.079278456,129.806268494,69.2540690973,0.0,21.3845077049,0.0,6.53169131048,35.610880044,5.72699003784,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,62.1661019008,71.0150849569,75.9238434213,97.8467985428,35.680696642,0.0,0.0,10.642376613,8.84898305609,4.90875846445,11.2805785085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,63.9562786751,84.001643082,105.825406243,118.895578981,54.9393003058,0.0,21.8237631611,0.267192604423,20.0453644069,0.0,12.8029801334,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
25,66.11390773,76.1622409811,76.8035736607,113.007893241,46.8939855113,0.0,0.0,21.0432248821,10.0483332512,0.641332679511,15.1610946984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26,66.7647283172,98.9875540727,166.628373246,171.461746425,104.697018108,0.0,36.0615157503,0.0,32.2228257555,31.5793034234,4.83337317857,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
