,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenB3,QlenC0,QlenC1,QlenC2,QlenC3,choice,precheck
0,0.0,0.940683897848,64.5730110481,65.5670248135,65.5670248135,0.0,0.0,0.0,0.940683897848,63.6323271503,0.994013765381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1.8162386557,14.1025405991,17.6797607742,33.5105511143,31.6943124586,0.0,0.0,0.0,12.2863019434,3.57722017501,15.8307903401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2,2.82697728228,26.435547757,37.2065746162,52.7460648587,49.9190875764,0.0,0.0,0.0,23.6085704747,10.7710268592,15.5394902425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,7.12715392256,33.2454285402,36.4419052812,40.3964136194,33.2692596968,0.0,0.0,0.0,26.1182746176,3.19647674102,3.95450833815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,7.3385119619,8.57188900242,20.3206716659,37.6822288673,30.3437169054,0.0,0.0,0.0,1.23337704052,11.7487826635,17.3615572014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,8.12570784747,34.3123650993,70.3202853266,74.7564114235,66.630703576,0.0,14.2216631275,0.0,26.1866572518,21.7862570998,4.43612609689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
6,11.8993951306,22.4013061557,22.4607039878,32.3903701788,20.4909750481,0.0,0.0,0.0,10.5019110251,0.0593978320962,9.92966619095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,17.385720957,29.7191721957,70.3314686747,98.5804600764,81.1947391195,0.0,34.8538388524,0.0,12.3334512388,5.75845762656,28.2489914017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,23.9065212076,25.0382505135,48.5340282268,50.3355353173,26.4290141097,0.0,0.0,0.0,1.13172930587,23.4957777133,1.80150709049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,28.8019088604,36.2919202733,45.6028574809,60.3548522363,31.5529433759,0.0,0.590918206048,0.0,7.49001141299,8.7200190015,14.7519947554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,28.8817524637,29.5212426867,35.288703695,37.6386522497,8.75689978601,0.0,0.0,0.0,0.639490223015,5.76746100831,2.34994855468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
11,29.8526492302,33.9232285614,36.8828384794,39.3425716659,9.48992243573,0.0,0.0,0.0,4.07057933115,2.95960991804,2.45973318654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,31.0729622216,34.8855213974,44.4227226295,49.9350129917,18.86205077,2.17246631856,1.55638388382,0.0,1.64009285721,7.98081734833,5.51229036212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,33.8822957994,45.7010021591,57.1006277203,78.741920035,44.8596242356,0.0,0.0,0.0,11.8187063597,11.3996255612,21.6412923146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,43.3988399314,61.6596440097,75.1463793853,89.401830671,46.0029907396,0.0,0.0,0.0,18.2608040783,13.4867353756,14.2554512857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,45.0048895826,45.9442898747,97.2769530835,111.675049147,66.6701595643,0.0,0.0,0.0,0.939400292083,51.3326632088,14.3980960634,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
16,46.2894160018,84.8475360077,84.8475360077,123.870435253,77.5810192509,0.0,0.0,13.7329240687,38.5581200059,0.0,25.2899751763,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,47.5188244725,58.7035056385,63.8292646675,93.0700307604,45.551206288,0.0,0.0,14.9126553675,11.184681166,5.12575902904,14.3281107255,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
18,49.5115678531,50.1066696946,57.2469656914,65.1974206275,15.6858527744,0.0,0.0,0.0,0.595101841505,7.14029599682,7.95045493613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,56.2390694994,62.0340799943,97.3759762141,97.9633920499,41.7243225505,0.0,8.28620533228,0.0,5.79501049492,27.0556908875,0.587415835782,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
20,56.9325462451,75.5095776455,75.5095776455,110.841234433,53.9086881883,0.0,0.0,13.8922530255,18.5770314004,0.0,21.4394037624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,61.4875606477,66.4450647785,68.7993622326,86.1085977836,24.6210371359,0.0,0.0,0.0,4.95750413086,2.35429745406,17.309235551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22,63.1739617176,69.3403085905,88.0650699768,94.0621158074,30.8881540897,0.0,0.0,5.00496078367,6.1663468729,18.7247613863,0.992085046931,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
23,66.4029049783,71.7685721944,73.3865316166,92.8575642227,26.4546592445,0.0,0.0,12.722066167,5.36566721608,1.61795942223,6.74896643912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,69.4126879398,82.4977269927,84.2559211642,104.921355033,35.5086670929,0.0,0.0,8.6016430585,13.085039053,1.75819417149,12.06379081,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
25,72.0826689644,80.5675768411,86.2918231584,118.277220845,46.1945518803,0.0,0.0,24.549411275,8.48490787676,5.72424631725,7.43598641127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
26,75.0854297613,94.3908406707,108.257618004,122.915148795,47.8297190335,0.424147884186,0.0,11.0336866868,18.8812630252,13.866777333,3.62384410439,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
27,82.0628309829,86.0319458219,115.884680328,135.355570829,53.2927398458,0.0,0.0,7.98575492496,3.96911483896,29.8527345059,11.4851355759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,83.6422269184,86.3860780123,89.0679124105,119.29130469,35.6490777721,0.0,0.0,29.2093084342,2.74385109391,2.68183439821,1.01408384579,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
29,89.8194422391,97.3009044549,101.241062387,109.003873745,19.1844315055,0.0,0.0,3.68029264551,7.48146221579,3.94015793228,4.08251871191,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
30,91.7377878707,140.326475513,144.395829305,145.542524925,53.8047370539,0.0,0.80601387163,0.0,48.5886876419,3.26333992102,1.14669561934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31,99.0234710031,99.5110674505,123.613378458,134.985461349,35.9619903462,0.0,0.0,0.0,0.48759644741,24.1023110077,11.3720828911,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
32,104.580330839,109.223921712,110.031469613,132.265067305,27.6847364661,0.0,0.0,12.883679182,4.64359087356,0.8075479005,9.34991851006,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
33,106.458538784,116.329131532,116.329131532,169.8790105,63.4204717165,0.0,0.0,19.0264392965,9.87059274843,0.0,34.5234396716,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,107.401913889,149.078899722,155.358596089,198.106261555,90.7043476658,0.0,0.0,23.4733212212,41.676985833,6.27969636647,19.274344245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
35,114.475760522,115.626209248,124.514326121,133.708681966,19.2329214432,0.0,0.0,7.75074118387,1.15044872582,8.88811687287,1.44361466062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,115.963164248,134.158561191,141.132489384,143.65696757,27.6938033226,0.0,0.0,0.0,18.1953969437,6.97392819297,2.52447818599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37,122.69246406,132.478988708,136.604278297,141.061415875,18.3689518145,0.0,0.0,0.0,9.78652464726,4.12528958889,4.45713757835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,130.256221552,135.256441146,145.20050075,145.951813279,15.6955917266,2.22276715542,1.34783715086,0.0,2.77745243803,8.59622245379,0.751312528546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,130.676921395,138.66017199,157.557794549,158.133342857,27.4564214625,3.48163979658,6.54032876066,0.0,4.50161079837,12.3572937986,0.575548308296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,131.634629,131.879373615,162.624044431,181.616197545,49.9815685447,0.0,0.0,7.2549660691,0.244744615152,30.744670816,11.7371870445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
41,133.698049875,142.419240708,147.605502999,178.83191731,45.133867435,0.0,0.0,0.0,8.72119083311,5.18626229157,31.2264143104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
42,135.135109567,142.195072707,168.228657772,169.798385509,34.6632759417,0.121331578251,15.3627218421,0.0,6.93863156113,10.6708632228,1.56972773739,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,135.293266818,141.189902009,150.11366692,151.526640234,16.2333734153,3.36690517131,3.20592729651,0.0,2.52973001911,5.71783761464,1.41297331372,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
