,,interval,t value ,prob,
1,0,11.2,34.8,0,1
2,11.2,1.3,28.9,0.01754386,0.98245614
3,12.5,1.1,28.4,0.035087719,0.964912281
4,13.6,1.4,28.2,0.052631579,0.947368421
5,15,9.6,27.3,0.070175439,0.929824561
6,24.6,9.3,24.4,0.087719298,0.912280702
7,33.9,20.5,23.8,0.105263158,0.894736842
8,54.4,1.6,22.1,0.122807018,0.877192982
9,56,18.6,20.5,0.140350877,0.859649123
10,74.6,1.7,20.1,0.157894737,0.842105263
11,76.3,27.3,18.6,0.175438596,0.824561404
12,103.6,5.1,18.4,0.192982456,0.807017544
13,108.7,15.4,17.9,0.210526316,0.789473684
14,124.1,22.1,17.5,0.228070175,0.771929825
15,146.2,28.2,16.3,0.245614035,0.754385965
16,174.4,3.3,15.7,0.263157895,0.736842105
17,177.7,1.3,15.4,0.280701754,0.719298246
18,179,2.1,12.8,0.298245614,0.701754386
19,181.1,4.9,11.2,0.315789474,0.684210526
20,186,3,10.1,0.333333333,0.666666667
21,189,1.4,9.6,0.350877193,0.649122807
22,190.4,10.1,9.3,0.368421053,0.631578947
23,200.5,1.1,9.1,0.385964912,0.614035088
24,201.6,12.8,6.9,0.403508772,0.596491228
25,214.4,18.4,6.6,0.421052632,0.578947368
26,232.8,24.4,5.3,0.438596491,0.561403509
27,257.2,17.9,5.1,0.456140351,0.543859649
28,275.1,0.4,4.9,0.473684211,0.526315789
29,275.5,1.7,4.8,0.49122807,0.50877193
30,277.2,0.6,4.8,0.50877193,0.49122807
31,277.8,28.4,4.4,0.526315789,0.473684211
32,306.2,6.6,3.9,0.543859649,0.456140351
33,312.8,23.8,3.3,0.561403509,0.438596491
34,336.6,5.3,3.2,0.578947368,0.421052632
35,341.9,3.9,3,0.596491228,0.403508772
36,345.8,17.5,2.1,0.614035088,0.385964912
37,363.3,3.2,2.1,0.631578947,0.368421053
38,366.5,4.8,1.9,0.649122807,0.350877193
39,371.3,34.8,1.7,0.666666667,0.333333333
40,406.1,0.7,1.7,0.684210526,0.315789474
41,406.8,1.9,1.7,0.701754386,0.298245614
42,408.7,1.2,1.6,0.719298246,0.280701754
43,409.9,16.3,1.4,0.736842105,0.263157895
44,426.2,0.8,1.4,0.754385965,0.245614035
45,427,20.1,1.3,0.771929825,0.228070175
46,447.1,9.1,1.3,0.789473684,0.210526316
47,456.2,4.4,1.2,0.807017544,0.192982456
48,460.6,0.7,1.1,0.824561404,0.175438596
49,461.3,0.7,1.1,0.842105263,0.157894737
50,462,4.8,0.9,0.859649123,0.140350877
51,466.8,28.9,0.8,0.877192982,0.122807018
52,495.7,6.9,0.8,0.894736842,0.105263158
53,502.6,2.1,0.7,0.912280702,0.087719298
54,504.7,0.8,0.7,0.929824561,0.070175439
55,505.5,1.7,0.7,0.947368421,0.052631579
56,507.2,15.7,0.6,0.964912281,0.035087719
57,522.9,0.9,0.4,0.98245614,0.01754386
58,523.8,,,,
,,,,,
,,0.4,,,
,,34.8,,,
