,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0.0,13.5878263809,20.3355143383,22.7605597814,0.0,0.0,0.0,13.5878263809,6.74768795744,2.42504544313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0686976920063,0.376913359552,6.51044647671,7.19622760744,0.0,0.0,0.0,0.308215667546,6.13353311715,0.685781130734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,6.10962012095,15.9737297958,46.0028430606,49.0657551973,0.0,0.0,0.483330043471,9.86410967482,30.0291132648,2.57958209322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.18256398773,26.7164625185,71.1264824512,91.0621962616,0.0,41.9729935344,0.64643911982,20.5338985308,2.43702639829,19.2892746906,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
4,8.5959317835,9.8153707191,9.8153707191,46.4861731041,0.0,0.0,0.0,1.2194389356,0.0,36.670802385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.0542617756,25.4458964423,64.8087931624,75.579557795,0.0,0.0,0.0,16.3916346667,39.3628967201,10.7707646326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
6,14.1547601256,26.5783725723,49.8124976491,68.3349487848,0.0,18.1387422284,3.60546642318,12.4236124467,5.09538284841,14.9169847125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,16.7685279724,20.8490027876,68.689456053,71.7729215711,0.0,0.0,0.0,4.08047481518,47.8404532654,3.08346551811,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
8,16.9940650553,20.1585229735,25.7053827863,29.1912963232,0.0,0.176991364808,0.0,3.16445791821,5.36986844804,3.4859135369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,18.2250551012,21.9763449054,35.3410019165,42.4239484396,1.93346787232,3.72903788098,0.0,1.81782193187,9.63561913012,7.08294652309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,21.0572347451,24.6267727757,44.7171148007,53.4179640723,0.919110160286,10.7142291408,0.0,2.6504278703,9.37611288426,8.70084927159,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,23.2651872001,59.1360028915,85.2484220184,101.752599359,0.0,10.8565844148,12.8781884887,35.8708156914,15.2558347122,3.62598885179,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,24.2931178851,30.8833837328,52.8343486173,76.3686918458,0.333654890563,18.9291139163,15.5006001675,6.25661095713,3.02185096814,8.03374306103,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,25.3179790303,36.3240727202,64.8087931624,85.1686423865,0.0,28.4847204422,10.7707646326,11.0060936899,0.0,9.58908459152,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
14,26.0860709636,26.6907310432,66.8949085394,75.1841329554,0.0,19.3121120174,0.0,0.60466007963,20.8920654788,8.28922441593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,42.3774228285,58.3582018377,69.9925873062,98.1266105071,0.0,8.5367067017,5.19154564915,15.9807790092,3.09767876678,22.9424775517,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
16,51.9873110416,83.319367282,106.835991396,111.137668076,0.0,13.2669560756,0.0,31.3320562404,10.2496680383,4.30167668033,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,52.3081121104,77.1443272027,88.0963850415,93.3315585522,0.0,0.0,0.0,24.8362150922,10.9520578389,5.23517351068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,53.1372290361,71.1487163465,88.6664816764,112.678378258,0.0,14.0997056719,13.0861176824,18.0114873103,3.41805965805,10.9257788994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,55.9002814555,60.8088885232,121.885050324,130.679176854,0.0,10.317593928,0.0,4.90860706773,50.7585678729,8.79412652976,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20,59.9900668154,82.757551971,96.5863233576,97.0362394288,17.1542603873,5.33883307054,0.0,5.61322476832,8.48993831609,0.449916071199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,60.9867238233,79.174785244,112.217552353,113.052129098,0.0,12.8043636864,0.0,18.1880614206,20.2384034227,0.834576745065,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
22,62.7917508367,88.5895032739,112.809692479,122.095970697,0.0,0.0769784025396,0.0,25.7977524371,24.1432108022,9.28627821828,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,64.5408558656,67.3545649221,67.3545649221,94.1864615975,0.0,0.0,17.8140774644,2.81370905647,0.0,9.01781921102,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0
24,65.1863702064,90.9008258344,125.87920808,131.375351998,17.5711817646,26.806315044,0.0,8.1432738634,8.17206720167,5.49614391755,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,66.7497863447,69.8661440512,91.9791489303,104.513107899,0.0,0.0,2.20731266716,3.11635770651,22.1130048791,10.3266463018,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0
26,67.8689048133,85.1726748662,109.954986441,111.691805293,15.4504624687,21.6633165297,1.18268163512,1.85330758423,3.1189950452,0.554137217208,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,73.1944051055,87.6228684519,117.707140878,119.299794166,11.9782697607,22.3321179892,0.0,2.45019358569,7.75215443728,1.59265328799,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,77.6631968857,78.9612085815,139.394618868,152.414150178,0.0,42.9238417426,0.0,1.29801169585,17.5095685443,13.0195313094,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29,81.2051453114,92.4766602026,128.967241141,132.966133478,6.41772314046,33.4025478774,2.40811085621,4.85379175071,3.08803306134,1.59078148082,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,81.9805511172,89.3150866713,122.723978358,126.068415702,0.0,23.4946058073,0.0,7.33453555402,9.91428587983,3.34443734346,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
31,82.86605552,115.548856904,139.083732955,160.122104181,0.0,7.17512145457,0.0,32.6828013839,16.3597545964,21.0383712261,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
32,102.501785347,111.320785315,132.024043903,160.038679596,0.0,18.4089027028,25.3606849087,8.81899996838,2.29435588517,2.65395078365,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
33,102.957923771,111.713693546,118.611375023,119.296313835,0.0,0.503858807436,0.0,8.75576977417,6.39382266954,0.684938812834,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
34,106.696001378,108.790631959,129.729688018,157.384728812,0.0,20.1766091827,3.23644546021,2.0946305807,0.762446876814,24.4185953337,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
35,107.160611554,136.594671471,145.370312941,161.001571767,1.63002040494,0.0,14.6683666543,27.8040395121,8.77564147061,0.962892171451,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
36,107.887885788,118.866453215,130.045943735,157.503619426,0.0,11.1794905204,16.2178879657,10.9785674268,0.0,11.2397877249,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
37,110.336167971,167.827016633,171.194466161,179.660739448,0.984617344537,0.902635193481,4.66742083198,56.5062313178,2.46481433431,3.79885245539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,111.075818985,118.756035494,130.045943735,146.263831701,0.0,0.0,0.0,7.68021650873,11.289908241,16.2178879657,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
39,112.106620325,138.594531038,149.869812807,191.619804616,0.0,0.489201916403,10.2522913735,26.4879107139,10.7860798525,31.4977004353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,112.942414982,163.672270027,168.729651827,175.861886993,23.6522564892,0.0,0.0,27.0775985563,5.05738179957,7.13223516629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,116.240062728,151.266619316,169.775848329,195.759716351,0.0,0.0,21.843956287,35.0265565881,18.5092290127,4.1399117353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,120.8477067,133.448595589,176.340472399,191.0537646,0.0,0.0,0.0,12.6008888891,42.8918768095,14.7132922007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
43,123.36584825,169.020545325,177.772472647,180.39091051,40.3064217776,2.17392083564,1.88826680148,5.34827529825,6.57800648589,0.730171061676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,128.44172665,145.378087536,172.960716489,184.755619057,0.0,0.0,0.0,16.9363608852,27.5826289536,11.7949025683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
