Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
5394,10875.42807,18013.84516,18620.19462,18693.12631,7817.698237,7056.98593,606.3494565,27.94362617,20.43115377,0,44.98807059,1154,30,29,28,0,0,0,1,0
1,0.618965917,1.526744721,8.791683769,11.67057156,11.05160565,0,0,0,0.907778805,7.264939047,2.878887795,0,0,0,0,0,0,0,0,1
5391,10870.02003,17949.70017,18620.19462,18648.13824,7778.118216,7046.566041,635.4197923,0,25.1141037,35.07465251,27.94362617,1152,30,30,30,0,0,0,1,0
3,4.286110231,22.03942483,22.03942483,50.88904615,46.60293592,0,0,4.102077826,17.7533146,0,24.74754349,0,0,0,0,0,0,0,0,1
5397,10883.83257,18014.66527,18558.11425,18631.69933,7747.866762,7065.867599,533.2254436,49.92721367,20.96509886,10.22353573,23.6578709,1156,30,29,28,1,0,1,0,0
5,9.844550409,13.04640917,17.25066662,26.14150266,16.29695225,0,0,0,3.201858756,4.204257458,8.890836038,0,0,0,0,0,0,0,0,1
5399,10887.4901,18013.95254,18599.26501,18612.08826,7724.59816,7071.440777,560.970697,7.166128982,20.02165811,24.34177848,5.657120248,1153,30,29,28,1,0,0,2,0
7,12.20755264,30.38088862,40.25416397,56.05686594,43.8493133,0.838856527,0,10.63488218,17.33447946,9.873275342,5.167819789,0,0,0,0,0,0,0,0,1
5392,10870.15341,18006.83662,18547.89071,18608.04146,7737.888048,7058.545814,511.8722245,39.14320041,13.13739334,29.18186721,21.00754899,1153,30,29,28,0,0,0,0,0
5395,10881.93175,17996.02424,18574.92324,18606.43114,7724.499391,7062.487775,578.2643154,14.27371881,2.604707771,0.634685608,17.23418865,1155,30,29,28,2,0,0,2,0
5388,10858.54464,17932.41401,18585.11996,18592.93439,7734.389752,7054.928543,622.1554906,0,6.940823133,30.5504672,7.814428514,1151,30,30,30,2,0,1,1,0
11,27.79859633,35.45539151,46.23854253,58.09759987,30.29900354,0,4.798772453,9.818323412,7.656795185,5.984378559,2.040733936,0,0,0,0,1,0,0,0,1
5384,10854.14676,17944.41953,18574.28855,18589.19695,7735.050195,7057.964769,613.6728138,0,19.30799762,16.19620943,14.90840442,1150,30,30,30,2,0,0,2,0
5377,10842.38466,17958.93088,18518.70885,18587.03391,7744.649257,7067.941446,559.7779649,23.34515859,48.60477839,0,44.97990903,1148,30,30,30,3,0,0,0,0
5374,10840.50472,17916.58607,18558.09234,18568.70805,7728.203322,7065.950863,632.1687854,0.892739572,10.13047985,9.337488779,9.722965787,1146,30,29,29,1,0,0,2,0
5355,10794.27305,17913.47318,18554.5695,18562.90829,7768.635239,7019.619454,619.8614561,0,24.58067808,21.23485764,8.338793294,1148,28,30,29,1,0,0,1,0
5375,10840.67638,17910.3261,18548.75485,18558.98508,7718.308705,7067.001309,606.9867346,0,2.648418076,31.44201508,10.23022835,1147,30,30,29,1,0,0,2,0
5379,10846.91005,17928.69923,18518.70885,18542.054,7695.143956,7064.217301,556.630861,18.45441558,3.571877912,33.37875683,4.890743003,1149,30,30,30,2,0,0,0,0
5372,10834.8474,17912.11153,18533.33464,18541.93515,7707.087747,7066.373808,621.2231085,1.572177885,10.89032044,0,7.028332003,1144,29,29,28,2,0,0,1,0
5373,10838.09565,17911.12735,18485.33009,18537.16326,7699.067615,7066.307971,540.0023168,40.70844839,6.723733219,34.20042216,11.12472402,1145,29,29,29,2,0,0,0,0
5367,10818.84755,17907.67768,18533.33464,18534.90682,7716.059264,7010.120104,585.4858758,0,18.7100286,40.17107783,1.572177885,1146,28,30,29,2,0,0,1,0
5369,10826.97416,17904.40362,18517.31284,18533.92509,7706.950926,7004.648368,586.3675782,0,15.78108928,26.54164211,16.61224909,1143,28,30,30,2,0,0,2,0
5371,10834.48616,17906.45559,18451.12967,18526.03854,7691.552374,7062.152792,500.1316646,71.14648704,9.81663157,44.54241518,3.762383516,1143,29,28,28,1,0,3,0,0
