,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0.0,8.029243136,14.6436424199,62.657665715,0.0,0.0,36.2095684073,8.029243136,6.61439928393,11.8044548878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.22827729988,3.13605610474,10.400995152,13.279882947,0.0,0.0,0.0,0.90777880486,7.26493904725,2.87888779501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2.86934204649,5.4934383151,5.4934383151,50.8532108272,0.0,0.0,0.0,2.62409626861,0.0,45.3597725121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.4299968311,18.0563080873,22.8006410972,30.5695987964,0.0,0.0,0.0,2.62631125619,4.7443330099,7.76895769922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,26.7991373451,38.8134254908,54.8972742456,73.1215444696,0.0,0.0,0.0,12.0142881457,16.0838487548,18.2242702239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,27.6042441349,34.2522780132,54.4254469266,65.3895243651,0.0,0.0,8.23221878834,6.6480338783,20.1731689134,2.73185865013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,29.8668446312,39.873014792,58.22720313,86.0277210148,0.0,15.0242594536,14.8943413396,10.0061701608,3.32992888434,12.9061765453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,38.4396595679,46.2196533382,65.8024562123,98.8556150033,0.373765922957,12.0075497918,20.2252648025,7.40622784738,7.57525308237,12.8278939885,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,50.5880122068,57.2186856709,95.7824326252,95.8878378897,0.0,0.0,0.0,6.63067346407,38.5637469543,0.105405264525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50.6367309419,53.2230789223,67.9511866504,112.163235598,0.0,12.57937729,30.9044283529,2.58634798047,2.14873043807,13.3076205949,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
10,64.308619019,96.9827149229,118.01706422,118.971377389,0.0,0.0,0.0,32.6740959039,21.0343492974,0.954313168682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,88.6113143441,94.2521675819,108.66111469,116.052512185,0.0,0.0,0.0,5.64085323783,14.408947108,7.39139749479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,100.996903156,111.547154285,128.160426584,131.033161981,0.0,0.0,0.0,10.5502511289,16.613272299,2.87273539679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,101.060802574,133.763987816,175.940619027,180.115717664,0.0,0.0,0.0,32.7031852418,42.1766312115,4.17509863716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,106.020070329,107.954102111,119.716141935,121.740041765,0.0,0.0,0.0,1.93403178186,11.762039824,2.02389982959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
15,106.682591421,115.370725168,126.697859815,163.69650023,0.0,0.0,0.0,8.68813374786,11.3271346462,36.9986404149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,116.318691904,119.489810126,142.406148963,148.989992782,0.0,0.0,0.0,3.17111822141,22.9163388371,6.58384381964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,121.224310656,142.43003679,204.472784823,205.001830978,0.0,32.6405374764,0.0,21.2057261335,29.4022105572,0.52904615422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,124.643538983,140.219302218,175.070574266,176.478126528,0.0,2.1868467449,0.0,15.575763235,32.6644253035,1.40755226165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,125.613378254,125.969196188,145.048083684,146.570883867,0.0,0.0,0.0,0.355817934529,19.0788874959,1.52280018349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
20,130.817018189,153.098406233,206.424798025,209.746246154,0.0,22.8422127942,0.0,22.2813880435,30.4841789977,3.32144812932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,138.672366061,147.075428052,147.075428052,175.435364314,0.0,0.0,0.0,8.40306199052,0.0,28.3599362623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,140.734399465,172.921165386,219.523075433,219.54164434,0.0,31.2812579727,0.0,32.1867659205,15.3206520747,0.0185689068776,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
23,144.175207018,152.725149734,154.230058433,180.276725945,0.0,0.0,0.0,8.54994271535,1.50490869985,26.0466675119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
24,154.379706882,175.495257498,242.93664191,254.647826016,0.0,28.9775273257,0.0,21.1155506152,38.4638570865,11.7111841065,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,162.458337961,164.671440986,173.034030731,175.729562426,0.0,0.0,2.40133358286,2.2131030251,8.36258974519,0.294198111941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,164.212569763,167.939817389,204.202423358,218.365349735,0.0,0.0,0.0,3.72724762632,36.2626059695,14.1629263765,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
27,165.347128351,201.109758132,260.201094388,265.913168443,0.0,40.8607162722,0.0,35.7626297803,18.230619984,5.71207405457,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,168.571740761,179.915048409,241.970474404,242.252180294,0.0,26.5097496157,0.0,11.3433076484,35.5456763792,0.281705890075,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29,175.615808898,191.57727153,195.423042548,206.285572673,0.0,3.03366369863,4.85348771933,15.9614626319,0.812107319415,6.00904240568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,184.100176031,187.723660827,188.793860726,193.633446795,0.0,0.0,0.0,3.62348479573,1.07019989971,4.8395860683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,189.589868026,189.982389893,194.610935228,200.276530267,0.0,0.0,0.0,0.392521866925,4.62854533536,5.66559503875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,196.279572757,197.701433083,269.901719531,277.381788917,0.0,45.2352088267,0.0,1.42186032641,26.9650776216,7.4800693851,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,198.923889589,205.466034554,215.985929633,232.64649235,0.0,0.0,0.0,6.54214496424,10.5198950793,16.6605627172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,201.861588478,223.11646591,259.534640691,276.313091539,0.0,20.1634278752,0.0,21.254877432,16.2547469052,16.7784508478,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
35,209.02477184,210.30627956,243.279893785,256.223636706,0.0,9.21679587279,0.0,1.2815077206,23.7568183524,12.9437429207,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
36,209.039111347,231.95821811,247.564958493,256.034373087,0.0,2.89525812491,0.0,22.9191067637,12.711482258,8.46941459352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,212.733467074,259.706721914,307.582364001,337.843450625,0.0,41.7659377188,0.0,46.9732548398,6.10970436841,30.261086624,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
38,215.124825631,233.324623736,305.492286414,319.150779862,0.0,36.5770957955,0.0,18.1997981046,35.5905668822,13.6584934489,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
