Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
0,0,0.940683898,83.96091332,84.95492709,84.95492709,0,0,0,0.940683898,83.02022943,0.994013765,0,0,0,0,0,0,3,0,0
1,1.816238656,14.1025406,23.50216393,39.33295427,37.51671561,0,0,0,12.28630194,9.39962333,15.83079034,0,0,0,0,0,0,0,2,0
2,2.826977282,26.43554776,101.1253849,116.6648752,113.8378979,0,57.52536557,0,23.60857047,17.16447161,15.53949024,0,0,0,0,0,0,1,0,0
3,7.127153923,33.24542854,35.22486577,39.17937411,32.05222018,0,0,0,26.11827462,1.979437228,3.954508338,0,0,0,0,0,0,0,0,1
4,7.338511962,8.571889002,29.05377363,46.41533083,39.07681886,0,0,0,1.233377041,20.48188462,17.3615572,0,0,0,0,0,0,0,1,0
5,8.125707847,34.3123651,45.89886846,89.68451946,81.55881161,0,0,39.3495249,26.18665725,11.58650336,4.436126097,0,0,0,0,0,0,1,2,0
6,11.89939513,22.40130616,23.37219329,33.30185949,21.40246435,0,0,0,10.50191103,0.970887139,9.929666191,0,0,0,0,0,0,0,0,1
7,17.38572096,29.7191722,118.108493,146.3574844,128.9717634,0,31.18832511,0,12.33345124,57.20099565,28.2489914,0,0,0,0,0,0,1,1,0
8,23.90652121,31.52170565,33.69536329,85.24839336,61.34187215,0,2.173657636,30.55611505,7.615184445,0,20.99691502,0,0,0,0,0,0,1,2,0
9,25.35868578,25.72741712,33.69536329,64.25147834,38.89279257,0,0,5.63759098,0.368731342,7.967946171,24.91852407,0,0,0,0,0,0,0,2,0
10,26.67494251,27.31443273,60.9074973,63.25744586,36.58250335,0,1.739340894,0,0.639490223,31.85372368,2.349948555,0,1,0,0,0,0,2,1,0
11,27.64583928,31.73296652,127.0799423,137.0614237,109.4155844,0,69.39241841,0,4.087127243,25.95455737,9.981481366,0,1,1,0,0,0,0,0,0
12,30.30005019,37.23664227,61.0515011,66.56379147,36.26374127,0,8.379243281,0,6.936592083,15.43561555,5.512290362,0,0,0,0,0,0,0,0,1
13,33.10938377,33.92659606,45.61588556,52.72867225,19.61928848,0.136044771,1.298269709,0,0.681167519,10.39101979,7.112786691,0,0,0,0,0,0,0,0,1
14,33.38043851,48.28838059,82.39522323,121.4313886,88.05095009,0,19.55994921,28.29302812,14.90794208,14.54689343,10.74313726,0,2,1,1,0,0,2,2,0
15,34.73127975,47.33886388,96.60881497,100.4885793,65.75729956,0,27.3414984,0,12.60758413,21.92845269,3.879764338,0,1,0,0,0,0,0,0,1
16,36.0376569,39.3783087,67.8483298,110.6882513,74.65059445,0,6.520559761,21.83618965,3.340651798,21.94946134,21.00373189,0,2,1,0,0,0,1,2,0
17,38.45654121,45.94076191,64.31666451,89.7690116,51.31247039,0,15.1107392,2.247126956,7.484220697,3.265163406,23.20522014,0,1,0,0,0,0,0,0,1
18,39.1159919,46.49748401,74.68036229,96.50022642,57.38423451,6.824770002,17.8191805,15.08864932,0.556722101,10.36369778,6.731214815,0,1,0,0,0,0,0,0,1
19,42.21702444,100.7245631,142.4680283,163.2517217,121.0346973,4.280459568,24.30827211,14.10063804,54.22707905,17.43519313,6.683055347,1,2,0,0,2,0,0,0,1
20,45.07759202,70.72903131,103.7201653,105.6475645,60.56997249,2.261271863,25.87978366,0,23.39016743,7.111350354,1.927399182,2,3,0,0,0,0,0,0,1
21,45.7838299,66.14359391,107.0678944,140.9684012,95.18457131,0,16.25162932,14.36349425,20.35976401,24.67267113,19.53701261,0,2,1,1,0,0,1,2,0
22,48.65157626,63.56338551,189.0420148,189.7912678,141.1396915,0,102.5573485,0,14.91180925,22.92128078,0.749252961,0,2,1,1,0,0,1,1,0
23,53.4913535,60.02304481,166.120734,171.8477241,118.3563706,0,58.08544814,0,6.53169131,48.01224107,5.726990038,0,2,1,1,0,0,0,1,0
24,55.68052043,71.23904424,106.4309196,113.179886,57.49936557,15.04851088,32.48112109,0,0.510012931,2.710754228,6.748966439,0,2,0,0,0,0,0,0,1
25,58.69030339,72.47548827,129.1516325,142.1864326,83.49612917,0,34.59240608,11.81676874,13.78518489,22.08373812,1.218031338,0,2,1,1,0,0,0,2,0
26,61.04642744,75.45605933,106.4309196,140.8919876,79.84556017,10.1926168,30.97486022,6.748966439,4.217015092,0,27.71210162,1,3,0,0,0,0,0,0,1
27,64.53044081,81.84391306,114.8887692,147.171005,82.64056424,10.92561852,24.58700649,26.00321837,6.387853732,8.457849682,6.279017435,2,3,0,0,0,0,0,0,1
28,64.95803846,83.39345593,122.8831029,150.7948492,85.83681069,16.8858746,31.49531331,24.28790214,1.549542869,7.99433367,3.623844104,3,4,0,0,1,0,0,0,1
29,71.93543969,97.43413826,167.1391799,175.2683445,103.3329049,0,31.71749421,0,25.49869858,37.98754743,8.129164641,0,2,2,1,0,0,0,2,0
30,74.61317548,90.94479988,125.0328352,156.5686663,81.95549086,8.780280454,31.93830303,25.76201398,7.551343945,2.14973226,5.773817193,2,5,0,0,2,0,0,0,1
31,74.97804207,101.3042658,150.4322614,167.847007,92.86896494,15.96675781,41.16376253,12.81946034,10.35946589,7.964233057,4.595285317,3,6,0,0,2,0,0,0,1
32,77.9009439,80.60022524,141.2332158,149.4612343,71.56029044,0,46.47971706,0,2.699281341,14.15327353,8.228018505,0,2,2,2,0,0,0,0,0
33,84.18843242,115.3707808,188.4627525,192.2459176,108.0574852,16.53613064,60.0259774,0,14.64621771,13.06599436,3.783165061,1,6,0,0,0,0,0,0,1
34,85.63204749,107.2645624,166.9121517,168.1404545,82.50840699,15.67221828,43.16769894,0.934855328,5.960296642,16.47989032,0.293447474,2,7,0,0,0,0,0,0,1
35,85.69487888,108.2798196,175.3967582,180.6169137,94.9220348,21.56968353,58.63233208,0,1.015257189,8.484606489,5.220155514,3,5,0,0,0,0,0,0,1
36,89.40908069,126.5810511,184.7468536,211.5195184,122.1104378,0,47.40767706,21.89894632,37.17197042,10.75812539,4.873718571,0,2,2,1,0,0,0,2,0
37,90.64547995,136.9958316,233.6727997,233.9987426,143.3532627,17.63433965,79.69426819,0,28.71601204,16.98269991,0.325942896,4,6,0,0,0,0,0,0,1
38,92.78281845,115.9647779,202.6388682,209.6816351,116.8988167,22.58796232,72.49797467,0,0.593997091,14.1761157,7.042766916,4,6,0,0,0,0,0,0,1
39,96.59902795,133.7229329,216.6900998,218.1337145,121.5346865,19.36574991,68.91593529,0,17.75815508,14.05123161,1.443614661,5,7,0,0,0,0,0,0,1
40,98.08643167,99.4289486,141.2332158,178.3240224,80.23759072,0,41.80426723,8.228018505,1.342516925,0,28.86278806,0,2,2,2,0,0,0,0,0
41,110.0906229,119.6198515,220.3633144,222.2622676,112.1716447,0,69.42216331,0,9.529228604,31.32129962,1.898953177,0,2,2,1,0,0,1,1,0
42,110.2977047,141.118165,253.0293501,253.1766434,142.8789387,23.42522821,92.55463478,0,7.395232024,19.35655039,0.147293298,2,6,0,0,0,0,0,0,1
43,111.2040594,141.2527314,261.6941747,263.7495503,152.5454909,25.79177226,111.7766187,0,4.256899797,8.664824597,2.05537556,3,7,0,0,0,0,0,0,1
44,111.2069583,123.1403348,173.9887282,206.6457999,95.43884162,0,43.99884508,1.279616381,11.93337657,6.84954826,31.37745533,0,2,2,1,1,0,0,2,0
45,118.4873327,126.3366358,169.327527,190.6215834,72.13425074,0,14.89658,8.996495416,7.849303156,28.09431115,12.29756103,0,2,1,1,0,0,0,0,0
46,123.3361768,126.4468106,237.4117683,239.868281,116.5321041,0,93.91650378,0,3.110633822,17.04845392,2.456512622,0,2,2,2,0,0,1,1,0
47,124.7012933,156.4276263,270.6822444,303.3435174,178.6422241,16.4168717,112.5507253,16.90109658,15.30946138,1.703892796,15.76017636,2,8,0,0,0,0,0,0,1
48,128.4550076,134.2898111,190.2663092,193.4501537,64.99514613,0,35.03771586,0.355274193,5.834803528,20.93878225,2.828570294,0,2,3,3,0,0,1,0,0
49,128.6979842,149.7240727,264.7021858,266.7225707,138.0245865,12.55474727,111.970102,0,8.471341265,3.008011096,2.020384863,3,9,0,0,0,0,0,0,1
50,130.3107206,134.9891541,209.7382759,213.1422578,82.83153717,0,49.75769941,1.781242565,4.67843356,24.99142232,1.622739315,0,2,3,2,0,0,0,2,0
51,130.8913181,155.712193,268.9783516,287.583341,156.692023,18.83275464,108.9899929,0,5.98812026,4.276165803,18.60498938,4,9,0,0,0,0,0,0,1
52,137.9700087,169.5526698,275.3518111,314.9888048,177.018796,17.74218422,101.1295746,27.99170626,13.84047688,4.669566685,11.64528739,3,9,0,0,1,0,0,0,1
53,141.7550761,152.6410693,195.7117941,204.7436037,62.98852754,0,37.62523992,0,10.8859932,5.44548484,9.031809591,0,1,3,3,0,0,1,0,0
54,147.3421713,165.4082798,282.0789696,293.8022398,146.4600685,0,83.863969,0,18.06610853,32.80672078,11.72327023,0,1,3,3,0,0,0,0,0
55,147.8328675,185.1230954,293.4072733,348.3202585,200.487391,8.59475885,101.8611336,50.36676641,28.69546905,6.423044278,4.546218793,2,10,0,0,3,0,0,0,1
56,149.583703,155.5999099,249.2722488,255.856563,106.2728599,0,40.11188415,0,6.016206875,53.56045473,6.584314155,0,1,3,3,0,1,0,0,0
57,151.8532528,179.6599293,284.5672837,331.446191,179.5929381,17.699417,95.69188185,30.42152108,10.10725943,9.215472572,16.45738622,2,10,0,0,2,0,0,0,1
58,154.5973888,183.077149,286.984229,343.7740397,189.1766508,25.06254045,101.4901347,44.46196202,3.417219703,2.416945283,12.32784867,3,10,0,0,3,0,0,0,1
59,160.5453734,193.9745121,314.2773696,401.2778825,240.7325091,22.53177558,120.3028575,64.50181941,10.8973631,0,22.49869351,2,11,0,0,5,0,0,0,1
60,170.0640568,193.0846059,287.0562384,322.8200232,152.7559664,0,88.99436371,6.746001407,23.02054906,4.977268825,29.01778342,0,3,2,2,0,0,0,0,0
61,173.7823428,176.8030661,218.7824388,226.1612768,52.37893395,0,32.93520978,0,3.020723278,9.044162915,7.378837977,0,3,2,2,0,0,0,2,0
62,175.6648016,180.5748324,237.4117683,266.738247,91.07344535,0,56.83693594,2.456512622,4.910030788,0,26.86996599,0,3,2,1,0,0,1,1,0
