,arrivalA,arrivalB,arrivalC,leaveC,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Queue A,Queue B,QlenB1,QlenB2,Queue C,QlenC1,QlenC2,choice,precheck
0,0,2.953401659,35.3938344,35.74869744,0,0,0,2.953401659,32.44043274,0.354863047,0,0,0,0,0,0,0,0,0
1,0.925845347,8.681394561,30.32412081,42.26307369,0,0,0,7.755549215,21.64272625,11.93895288,0,0,0,0,0,0,0,1,0
2,2.298687577,4.073954218,10.35350773,12.44935251,0,0,0,1.775266641,6.279553515,2.095844779,0,0,0,0,0,0,0,0,1
3,15.59539994,29.56036221,85.90681873,86.18364649,0,0.763758596,0,13.96496227,55.58269792,0.276827765,0,0,0,0,0,0,1,1,0
4,15.78532848,38.76605146,45.37480881,53.82362053,0,0,0,22.98072298,6.608757345,8.448811723,0,0,0,0,0,0,0,0,1
5,18.04708683,44.30943793,77.27361752,81.57769413,0,8.359248148,0,26.2623511,24.60493144,4.304076613,0,0,0,0,0,0,0,2,0
6,19.89712524,38.29019857,52.66868607,55.91146575,0,0,0,18.39307333,14.37848751,3.242779674,0,0,0,0,0,0,0,2,0
7,20.12428537,22.70827719,33.16629297,37.33240737,0,0,0,2.583991823,10.45801577,4.166114408,0,0,0,0,0,0,0,2,0
8,23.88314875,24.76887779,67.37391689,101.87962,0,10.6249566,0,0.885729038,31.9800825,34.50570307,0,0,0,0,0,0,0,0,0
9,29.26777531,32.9658972,85.90681873,117.5557491,0,52.94092153,0.276827765,3.698121889,0,31.37210262,0,1,0,0,0,0,1,1,0
10,31.07100947,33.67474631,38.59136484,44.00733451,0,0,0,2.603736833,4.916618534,5.415969668,0,0,0,0,0,0,0,0,1
11,35.8454222,40.75359994,51.4786028,57.42993978,0,4.621208865,2.345017728,4.908177748,6.103793996,3.606319247,0,0,0,0,0,0,0,0,1
12,37.78426112,46.4322908,52.7978604,66.37630386,0.981790341,5.046312001,4.632079379,7.66623934,1.319257596,8.946364083,0,0,0,0,1,0,0,0,1
13,40.58408961,41.00061966,93.84495652,103.3609756,0,26.37329724,8.034663451,0.416530046,26.47103962,1.48135568,0,0,1,0,0,1,0,0,0
14,43.75428528,51.0802097,116.7746295,128.5147907,0,42.76474682,0,7.325924416,22.92967294,11.74016122,0,1,1,0,0,3,0,0,0
15,47.95537667,68.54284188,76.14657395,89.20577406,0,0,0,20.58746521,7.603732071,13.0592001,0,1,0,0,0,0,0,0,1
16,48.78912387,51.48533913,85.90681873,146.2567008,0,34.4214796,31.64893038,2.696215263,0,28.7009517,0,1,1,1,0,1,1,1,0
17,48.99545787,85.70392743,100.3498225,111.1375516,0,13.01721908,9.6263581,36.70846956,1.628676005,1.16137094,0,1,0,0,0,0,0,0,1
18,50.74958792,62.61885076,85.54716372,104.7724599,0,22.92831297,2.606142119,11.86926284,0,16.61915408,0,1,1,1,0,0,0,2,0
19,54.60732326,74.68681861,91.05486135,92.52711786,13.93551862,1.459755342,0,6.143976729,14.9082874,1.47225651,0,0,0,0,0,0,0,0,1
20,56.92256574,58.33399094,85.54716372,88.15330584,0,18.93962657,0,1.411425208,8.273546206,2.606142119,0,2,2,0,0,0,0,2,0
21,57.22560286,71.76185777,116.7746295,136.9999207,0,45.01277169,11.74016122,14.5362549,0,8.485130054,0,2,2,0,0,3,0,0,0
22,57.69431251,81.37065082,98.72114651,109.9761806,16.99250611,9.684210532,0,6.683832206,7.666285158,11.25503411,1,1,0,0,0,0,0,0,1
23,61.55713603,76.63907328,141.967202,143.8536193,0,40.13555618,0,15.08193725,25.1925725,1.886417344,0,2,2,1,0,3,0,0,0
24,64.02725656,77.14803678,107.472199,156.8750455,0,8.758781953,38.78450183,13.12078022,21.56538025,10.6183447,0,2,2,2,0,1,0,1,0
25,65.61444031,81.52829484,147.9912798,154.2300074,0,4.018868882,0,15.91385453,62.44411607,6.238727588,0,2,2,2,0,2,0,2,0
26,66.10233906,84.65596063,159.3623515,179.2233021,0,57.31124133,0,18.55362158,17.39514953,19.86095056,0,2,2,2,0,1,0,0,0
27,67.02944356,82.88419912,168.1814242,169.3828469,4.732414207,65.10708068,0,11.12234135,20.1901444,1.201422688,0,2,2,2,2,2,0,2,0
28,67.89037594,89.0063375,137.4127483,175.8668659,8.748697341,19.98552167,37.53785499,12.36726422,28.42088913,0.916262592,1,3,2,2,0,2,0,1,0
29,75.34571415,89.07735869,111.2524293,122.5742791,6.024936664,11.27246383,0,7.70670787,10.90260676,11.32184983,0,1,0,0,0,0,0,0,1
30,75.39364408,88.50539789,108.9918592,174.9506033,1.754392693,18.96680109,47.88318633,11.35736112,1.519660197,18.0755578,1,3,3,2,0,2,0,1,0
31,76.44426862,94.31408991,161.4924391,178.0823061,5.08402622,43.09865841,14.37442676,12.78579507,24.07969082,2.215440224,2,3,3,2,0,1,0,1,0
32,79.97618436,115.722415,227.2930835,233.0353102,2.908014756,94.84186535,0,32.83821585,16.72880319,5.742226666,1,3,3,3,2,0,0,1,0
33,82.04466495,105.2977539,134.9651912,142.2784744,3.659262484,25.10078675,0,19.59382643,4.566650575,7.313283255,0,2,0,0,0,0,0,0,1
34,82.36446212,89.91540494,188.6646019,190.9641377,2.291498519,78.26601926,0,5.259444305,20.48317775,2.299535799,1,4,3,3,2,0,0,2,0
35,82.68918994,89.8202358,117.8050647,123.6052035,6.388168746,21.43219348,4.769214354,0.742877107,6.552635477,1.030924399,1,3,0,0,0,0,0,0,1
36,84.1891444,100.2960861,166.2781644,190.3130674,4.316253491,59.06626535,12.94513767,11.79068825,6.915812895,11.08976538,1,4,1,1,0,2,0,0,0
37,86.82033996,100.8309954,183.7282613,196.587708,2.185997543,60.66144372,0,11.82465792,22.2358222,12.8594467,1,4,2,1,2,0,0,1,0
38,86.877442,99.43199698,189.1729872,205.0587122,3.037962936,89.23260497,1.791150586,9.516592039,0.508385213,14.09457448,2,4,2,2,2,0,0,2,0
