Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
996,2712.157966,3377.359256,3507.000228,3538.876581,826.7186146,633.9102781,126.1745113,19.63980632,29.29101161,3.466461077,12.23654627,72,20,0,0,4,0,0,0,1
995,2709.715714,3348.497302,3503.533767,3526.640034,816.9243206,632.8150041,147.651878,22.42909864,5.966584272,7.384586838,0.677168756,71,20,0,0,4,0,0,0,1
992,2706.954603,3346.068244,3496.14918,3525.962866,819.0082621,634.4054882,145.9926959,24.02215251,4.708152337,4.088240191,5.791532977,71,19,0,0,4,0,0,0,1
988,2704.651887,3342.530718,3492.06094,3520.171333,815.5194451,604.92364,145.5321123,20.60487086,16.95519027,3.998109795,7.505521834,69,20,0,0,3,0,0,0,1
990,2706.204541,3341.360092,3488.06283,3512.665811,806.46127,606.2095338,139.6281019,19.06163688,15.9460171,7.074636536,5.541343775,70,20,0,0,4,0,0,0,1
986,2695.954294,3312.414075,3480.988194,3507.124467,811.1701731,602.9683345,160.1625529,24.07567577,10.4914462,8.411566068,2.06059765,70,20,0,0,3,0,0,0,1
969,2656.941227,3309.575527,3472.576627,3505.063869,848.1226419,538.8331186,156.6527624,23.90023647,29.80118146,6.348337555,8.587005368,68,20,0,0,2,0,0,0,1
980,2678.276409,3298.922628,3466.22829,3496.476864,818.2004553,613.4338098,158.9293295,24.76973665,7.212409961,8.376332113,5.478837371,70,20,0,0,1,0,0,0,1
978,2672.961845,3291.710218,3457.851958,3490.998027,818.0361814,616.8841016,156.8675034,30.3146982,1.86427157,9.274235983,2.831370565,69,19,0,0,1,0,0,0,1
977,2672.423463,3289.845947,3448.577722,3488.166656,815.7431931,610.8358446,156.9682669,11.13677137,5.586639381,1.763508155,28.45216281,68,18,0,0,1,0,0,0,1
991,2706.81913,2994.971467,3411.124394,3470.138777,763.3196466,247.8921003,416.1529273,44.44496822,40.26023599,0,14.56941477,38,19,19,19,1,0,0,0,0
974,2669.05402,3283.259307,3446.814214,3459.714493,790.6604727,543.4961139,159.6385113,9.547382157,2.709173052,3.91639492,3.35289737,69,20,0,0,0,0,0,0,1
966,2645.492359,3212.550134,3442.897819,3456.361596,810.8692364,497.3562581,220.8654204,0,17.70151694,9.482263929,13.46377708,67,20,0,0,0,0,0,0,1
994,2709.414323,2982.167617,3411.124394,3455.569362,746.1550394,252.1908698,428.9567765,14.73670058,20.56242485,0,29.70826764,39,20,20,19,0,0,0,0,0
998,2716.593895,2992.299974,3430.243254,3440.279972,723.6860771,246.8853721,403.0083166,0,10.82070714,34.93496316,10.03671809,39,19,19,19,1,0,0,2,0
965,2645.124851,3195.774346,3433.415555,3438.249776,793.1249252,495.502935,229.3805245,0.70738905,1.146560248,8.260684246,4.126832162,66,20,0,0,0,0,0,0,1
962,2626.729246,3142.848617,3425.154871,3434.122944,807.3936979,493.5797509,276.6616582,0,5.539620656,5.644594922,8.968073296,67,20,0,0,0,0,0,0,1
989,2705.672608,2963.479267,3411.124394,3425.861094,720.1884861,245.0988169,422.702903,0,12.70784165,24.94222396,14.73670058,38,19,19,19,0,0,0,0,0
963,2641.770765,3140.627786,3419.510276,3424.721575,782.95081,480.4330434,262.5317662,0,3.423977105,16.35072364,5.211299694,65,20,0,0,0,0,0,0,1
