Column1,arrivalA,arrivalB,arrivalC,leaveC,waiting time,QtimeA,QtimeB,QtimeC,serviceTA,serviceTB,serviceTC,Qlen_A,QlenB0,QlenB1,QlenB2,QlenC0,QlenC1,QlenC2,choice,precheck
996,2828.655438,2834.776508,3430.89428,3447.784601,619.1291627,0,564.7695709,0,6.121069934,31.34820047,16.89032139,0,29,29,29,0,0,0,0,0
985,2799.113792,2819.446209,3399.546079,3414.123103,615.0093116,0,538.4284625,0,20.33241731,41.67140747,14.57702431,0,30,30,29,0,0,0,0,0
993,2820.139488,2838.476313,3348.336666,3411.854401,591.7149133,0,509.8603523,23.80341494,18.33682539,0,39.71432068,0,29,29,30,0,1,0,1,0
3,7.127153923,33.24542854,34.49429891,38.44880725,31.32165332,0,0,0,26.11827462,1.248870367,3.954508338,0,0,0,0,0,0,0,0,1
982,2787.616192,2791.223564,3348.336666,3372.140081,584.5238888,0,533.7775832,10.70583748,3.607372497,23.33551816,13.09757746,0,30,29,29,0,0,0,1,0
989,2812.695858,2818.112845,3357.874672,3362.875453,550.1795945,0,492.4152616,0,5.416986735,47.34656498,5.000781159,0,30,29,30,0,2,0,0,0
6,11.89939513,22.40130616,22.46070399,32.39037018,20.49097505,0,0,0,10.50191103,0.059397832,9.929666191,0,0,0,0,0,0,0,0,1
977,2767.637376,2784.081589,3325.001147,3359.042503,591.4051275,0,540.9195582,6.925335923,16.44421368,0,27.11601972,0,29,29,29,1,1,0,1,0
978,2771.506237,2786.955783,3310.528107,3341.227537,569.7212993,0,523.5723238,15.98778446,15.4495454,0,14.71164567,0,30,29,29,0,0,0,0,0
9,28.80190886,36.29192027,43.73933671,58.49133147,29.68942261,0,2.238510411,0,7.490011413,5.20890603,14.75199476,0,0,0,0,0,0,0,0,1
976,2764.955109,2766.232578,3325.001147,3331.926483,566.9713743,0,498.1927289,1.347041544,1.277469494,60.57583998,5.578294379,0,29,28,29,1,0,0,1,0
11,29.85264923,34.8855214,38.53043068,40.99016387,11.13751464,3.39277931,0,0,1.640092857,3.644909287,2.459733187,0,0,0,0,0,0,0,0,1
974,2759.86827,2770.825261,3310.528107,3326.515891,566.6476208,0,527.3044176,0,10.95699097,12.39842785,15.98778446,0,29,29,29,0,0,0,0,0
13,40.73388413,50.14103117,69.53932853,70.60909659,29.87521246,0,0,0,9.407147041,19.39829737,1.069768056,0,0,0,0,0,0,0,0,1
959,2716.773183,2739.430233,3264.425307,3326.348189,609.5750055,0,524.9950746,36.8309037,18.65704938,0,25.09197782,0,28,29,30,2,2,2,1,0
15,44.1433572,56.75094133,89.31107771,93.19084205,49.04748485,0,15.96069492,0,12.60758413,16.59944146,3.879764338,0,0,0,0,0,0,0,0,1
16,45.44973434,52.61775476,72.71163625,81.59114695,36.14141261,4.691296826,16.92157378,0,2.476723589,3.172307716,8.879510701,0,0,0,0,0,0,0,0,1
17,50.34671134,63.3612952,93.56458553,99.10307256,48.75636122,2.271043421,25.94978252,0,10.74354044,4.25350782,5.538487032,0,1,0,0,0,0,0,0,1
18,51.69557426,67.52144337,98.79835466,126.5991525,74.90357823,5.055367066,30.66017292,12.55772209,10.77050205,0.616738364,15.24307575,1,2,0,0,1,0,0,0,1
965,2731.657149,2738.302216,3264.425307,3301.256211,569.5990623,0,510.5799266,30.41099027,6.645067495,15.5431645,6.419913434,0,26,27,29,2,1,2,1,0
20,60.61021185,63.9180173,98.18161629,111.3560767,50.7458649,2.751083346,29.64656823,0.921456269,0.556722101,4.617030762,12.25300418,0,3,0,0,0,0,0,0,1
972,2752.912746,2758.970217,3298.129679,3299.306273,546.3935267,0,500.1998413,0,6.057470307,38.95962091,1.176594107,0,28,29,29,0,1,0,0,0
964,2727.582457,2727.769982,3248.882143,3294.836298,567.253841,0,490.5000645,35.54573437,0.187525461,30.61209629,10.4084204,0,27,26,30,1,2,3,1,0
23,73.83859125,74.90515119,105.5621836,130.5698636,56.73127236,0,23.89320346,21.03696893,1.066559947,6.763828907,3.970711113,0,3,0,0,1,0,0,0,1
24,77.89733473,115.3450137,135.8269363,173.2201055,95.32277081,0,20.48192257,5.813498715,37.44767899,0,31.57967053,0,4,0,0,1,0,0,0,1
968,2735.236539,2740.90723,3259.170058,3289.390351,554.1538115,0.09946908,503.3776065,18.44724372,5.571221406,14.88522164,11.77304921,0,27,27,29,1,2,2,0,0
26,87.69282763,95.57299675,110.8949088,130.7185508,43.02572318,0,9.989186814,19.67495479,7.880169122,5.332725254,0.148687201,0,4,0,0,2,0,0,0,1
27,88.99668395,102.777799,122.0958584,134.7199222,45.72323825,6.576312797,8.117109774,8.622692383,7.204802294,11.20094961,4.001371391,0,3,0,0,2,0,0,0,1
945,2678.372704,2701.731336,3218.270047,3284.427877,606.0551732,0,516.538711,41.69662369,23.35863156,0,24.46120697,0,30,30,29,3,2,4,1,0
29,91.81021543,110.329143,125.5286268,140.4937394,48.68352396,10.96758361,11.76671544,9.191295386,7.551343945,3.432768388,5.773817193,1,2,0,0,3,0,0,0,1
966,2733.358818,2739.138092,3244.284836,3277.617302,544.2584832,0,474.8151024,24.79975522,5.779273484,30.33164196,8.532710135,0,26,27,29,0,2,3,0,0
31,99.27755457,114.9727339,135.8269363,141.640435,42.36288045,11.05158842,10.55589295,4.666803095,4.643590874,10.29830948,1.146695619,1,2,0,0,0,0,0,0,1
32,106.5632377,125.3321998,144.0131881,177.0032706,70.4400329,8.409496164,10.49473654,29.20691749,10.35946589,8.186251753,3.783165061,1,2,0,0,0,0,0,0,1
33,108.0068528,129.6776942,151.6564255,177.2967181,69.28986531,7.338160955,14.33549386,25.34684515,14.33268047,7.643237407,0.293447474,2,3,0,0,1,0,0,0,1
34,108.0696842,131.2924964,162.6146594,188.4572378,80.38755368,17.2625156,27.403436,20.62242292,5.960296642,3.91872701,5.220155514,3,3,0,0,3,0,0,0,1
35,111.783886,130.9855099,158.6959324,183.2370823,71.45319636,17.89380823,20.67091561,18.60078568,1.307815658,7.039506938,5.940364249,3,3,0,0,2,0,0,0,1
36,117.4498385,138.7351767,183.3683071,223.7382521,106.2884136,13.53567134,33.92443334,38.92633033,7.749666799,10.70869715,1.443614661,2,4,0,0,2,0,0,0,1
986,2800.417332,2802.375901,3196.168771,3272.519999,472.1026665,0,391.2607915,73.30482419,1.958568606,2.532078573,3.046403667,0,30,30,29,2,4,5,2,0
980,2778.054818,2793.922072,3193.636692,3269.473595,491.4187775,0,388.8479263,75.77244064,15.86725434,10.86669411,0.064462121,0,30,29,28,2,4,4,2,0
39,126.9067688,131.3033838,165.1660623,221.7190892,94.81232036,4.385727598,31.31127562,23.29117554,0.010887388,2.551402895,33.26185132,2,5,0,0,4,0,0,0,1
40,130.2025328,137.3648057,172.65961,222.2946375,92.09210464,1.100850957,27.80125656,49.05947917,6.061421953,7.493547691,0.575548308,2,6,0,0,5,0,0,0,1
41,131.1602404,139.4859967,187.1140424,223.8855454,92.72530499,6.204565305,43.8823104,36.6242097,2.121190996,3.745735293,0.147293298,2,5,0,0,3,0,0,0,1
981,2783.907012,2784.53265,3182.769998,3269.409133,485.5021213,0,385.648547,68.4046999,0.625638409,12.58880111,18.23443485,0,29,28,28,2,3,4,2,0
967,2734.134357,2736.620478,3213.953194,3269.084591,534.9502349,0,477.3327162,26.1642753,2.486121601,0,28.96712188,0,26,27,29,2,1,5,0,0
940,2662.782602,2692.638536,3218.270047,3259.96667,597.1840685,4.022020056,499.378993,38.68764244,25.83391382,26.25251798,3.008981246,1,30,28,27,3,1,4,1,0
45,149.4381542,159.1114402,199.5407585,226.2592683,76.82111405,0,28.00260224,24.34478695,9.673285963,12.42671605,2.37372285,0,6,0,0,3,0,0,0,1
